Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective July 1, 2024 through September 30, 2024",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q24 ASP data.,,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
90371,Hep b ig im,1 ML,143.771,20.000,,,,,,,,
90375,Rabies ig im/sc,150 IU,288.383,20.000,,,,,,,,
90377,Rabies ig ht&sol human im/sc,150 IU,260.435,20.000,,,,,,,,
90586,Bcg vaccine intravesical,1 EACH,143.589,20.000,,,,,,,,
90632,Hepa vaccine adult im,1 ML,70.388,20.000,,,,,,,,
90662,Iiv no prsv increased ag im,0.5 ML,73.403,0.000,95,73.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90670,Pcv13 vaccine im,0.5 ML,257.989,0.000,95,257.989,,,,,,
90671,PCV15 vaccine IM,1 EA,253.560,0.000,95,253.560,,,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,27.788,0.000,95,27.788,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,34.172,0.000,95,34.172,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90675,Rabies vaccine im,1 ML,338.493,20.000,,,,,,,,
90677,Pcv20 vaccine im,0.5 ML,298.036,0.000,95,298.036,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,73.403,0.000,95,73.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
